"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
1,"Skyrim","having fun",15,"Male",25,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Singleplayer",1,23,5,"USA","having fun","Unemployed","Singleplayer"
2,"Other","having fun",10,"Male",41,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",8,16,33,"USA","having fun","Unemployed","Multiplayer - online - with strangers"
3,"Other","having fun",0,"Female",32,"Employed","Bachelor (or equivalent)","Germany","Singleplayer",8,17,31,"DEU","having fun","Employed","Singleplayer"
4,"Other","improving",25,"Male",28,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",0,17,11,"USA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
5,"Other","having fun",21,"Male",19,"Employed","High school diploma (or equivalent)","South Korea","Multiplayer - online - with strangers",14,14,13,"KOR","having fun","Employed","Multiplayer - online - with strangers"
6,"Other","relaxing",4,"Male",24,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",1,17,13,"USA","relaxing","Employed","Multiplayer - online - with real life friends"
7,"Other","relaxing",38,"Male",29,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",0,16,26,"USA","relaxing","Employed","Multiplayer - online - with online acquaintances or teammates"
8,"Other","having fun",25,"Female",23,"Employed","Bachelor (or equivalent)","Japan","Singleplayer",0,23,NA,"JPN","having fun","Employed","Singleplayer"
9,"Other","winning",2,"Female",23,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",12,12,55,"USA","winning","Employed","Multiplayer - online - with strangers"
10,"World of Warcraft","improving",25,"Female",27,"Employed","High school diploma (or equivalent)","Finland","Multiplayer - online - with online acquaintances or teammates",10,13,26,"FIN","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
11,"Other","having fun",14,"Female",21,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",19,27,6,"USA","having fun","Student","Singleplayer"
12,"League of Legends","having fun",27,"Male",25,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",0,33,3,"USA","having fun","Employed","Multiplayer - online - with real life friends"
13,"Other","improving",10,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,31,23,"USA","improving","Student","Multiplayer - online - with real life friends"
14,"Other","relaxing",26,"Male",19,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",3,26,29,"USA","relaxing","Student","Multiplayer - online - with real life friends"
15,"Other","having fun",35,"Male",35,"Employed","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",2,13,33,"CAN","having fun","Employed","Multiplayer - online - with strangers"
16,"Other","having fun",14,"Male",18,"Student at college / university","High school diploma (or equivalent)","Australia","Singleplayer",8,28,30,"AUS","having fun","Student","Singleplayer"
17,"Other","having fun",9,"Female",24,"Unemployed / between jobs","Bachelor (or equivalent)","UK","Multiplayer - offline (people in the same room)",4,15,36,"GBR","having fun","Unemployed","Multiplayer - offline (people in the same room)"
18,"Other","improving, having fun",21,"Male",30,"Employed","Bachelor (or equivalent)","Bosnia and Herzegovina","all of the above",1,19,8,"BIH","Other","Employed","Other"
19,"Skyrim","relaxing",10,"Male",29,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Singleplayer",8,6,36,"USA","relaxing","Unemployed","Singleplayer"
20,"Other","relaxing",8,"Male",22,"Employed","Bachelor (or equivalent)","Ireland","Multiplayer - online - with strangers",0,31,11,"IRL","relaxing","Employed","Multiplayer - online - with strangers"
21,"Other","having fun",7,"Female",20,"Employed","High school diploma (or equivalent)","Finland","Singleplayer",2,16,26,"FIN","having fun","Employed","Singleplayer"
22,"Starcraft 2","improving",70,"Male",24,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",15,9,37,"DEU","improving","Student","Multiplayer - online - with online acquaintances or teammates"
23,"Other","having fun",10,"Male",33,"Employed","Ph.D., Psy. D., MD (or equivalent)","Canada","Singleplayer",3,31,5,"CAN","having fun","Employed","Singleplayer"
24,"World of Warcraft","having fun",21,"Male",41,"Employed","Bachelor (or equivalent)","UK","Multiplayer - online - with real life friends",0,35,0,"GBR","having fun","Employed","Multiplayer - online - with real life friends"
25,"Other","having fun",20,"Female",25,"Unemployed / between jobs","Bachelor (or equivalent)","UK","Multiplayer - online - with real life friends",10,8,47,"GBR","having fun","Unemployed","Multiplayer - online - with real life friends"
26,"Other","having fun",21,"Male",26,"Unemployed / between jobs","Master (or equivalent)","Malaysia","Singleplayer",4,7,20,"MYS","having fun","Unemployed","Singleplayer"
27,"Skyrim","having fun",20,"Female",20,"Student at college / university","High school diploma (or equivalent)","UK","Singleplayer",0,16,39,"GBR","having fun","Student","Singleplayer"
28,"League of Legends","having fun",10,"Male",36,"Employed","Bachelor (or equivalent)","Romania","Multiplayer - online - with strangers",5,26,31,"ROU","having fun","Employed","Multiplayer - online - with strangers"
29,"Other","having fun",42,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",4,24,15,"USA","having fun","Student","Multiplayer - online - with real life friends"
30,"Other","having fun",6,"Male",18,"Student at school","None","USA","Multiplayer - offline (people in the same room)",1,25,12,"USA","having fun","Student","Multiplayer - offline (people in the same room)"
31,"Other","having fun",9,"Male",18,"Student at school","None","USA","Multiplayer - online - with online acquaintances or teammates",6,16,14,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
32,"Other","having fun",22,"Male",20,"Student at college / university","High school diploma (or equivalent)","Sweden","Singleplayer",15,8,46,"SWE","having fun","Student","Singleplayer"
33,"Other","having fun",8,"Male",26,"Employed","Bachelor (or equivalent)","Canada","Multiplayer - online - with strangers",2,27,11,"CAN","having fun","Employed","Multiplayer - online - with strangers"
34,"League of Legends","improving",11,"Female",23,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",0,26,39,"GBR","improving","Employed","Multiplayer - online - with real life friends"
35,"Starcraft 2","winning",14,"Female",22,"Unemployed / between jobs","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",2,25,60,"GBR","winning","Unemployed","Multiplayer - online - with strangers"
36,"League of Legends","having fun",11,"Male",25,"Student at college / university","Master (or equivalent)","USA","Multiplayer - online - with strangers",1,21,29,"USA","having fun","Student","Multiplayer - online - with strangers"
37,"Other","having fun",21,"Female",22,"Student at college / university","High school diploma (or equivalent)","Greece","Multiplayer - online - with real life friends",4,24,NA,"GRC","having fun","Student","Multiplayer - online - with real life friends"
38,"Other","improving",19,"Male",24,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",14,13,13,"USA","improving","Student","Singleplayer"
39,"Other","having fun",10,"Female",24,"Student at college / university","High school diploma (or equivalent)","Canada","Singleplayer",7,11,41,"CAN","having fun","Student","Singleplayer"
40,"Other","having fun",24,"Male",21,"Student at college / university","Master (or equivalent)","Ireland","Singleplayer",5,27,8,"IRL","having fun","Student","Singleplayer"
41,"Other","having fun",10,"Female",18,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",14,17,24,"USA","having fun","Student","Singleplayer"
42,"Other","having fun",10,"Male",18,"Student at school","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",4,15,9,"GBR","having fun","Student","Multiplayer - online - with strangers"
43,"Other","having fun",14,"Male",27,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",0,23,1,"USA","having fun","Employed","Multiplayer - online - with strangers"
44,"Counter Strike","having fun",9,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",7,15,17,"USA","having fun","Student","Multiplayer - online - with real life friends"
45,"Other","winning",5,"Male",24,"Student at college / university","Bachelor (or equivalent)","Canada","Multiplayer - online - with real life friends",13,28,3,"CAN","winning","Student","Multiplayer - online - with real life friends"
46,"Counter Strike","winning",10,"Male",20,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",8,14,38,"GBR","winning","Student","Multiplayer - online - with online acquaintances or teammates"
47,"Other","improving",24,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Singleplayer",5,22,30,"USA","improving","Student","Singleplayer"
48,"Other","relaxing",20,"Female",25,"Employed","Bachelor (or equivalent)","USA","Singleplayer",7,20,24,"USA","relaxing","Employed","Singleplayer"
50,"League of Legends","improving",60,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",11,10,17,"USA","improving","Student","Multiplayer - online - with strangers"
51,"Other","having fun",28,"Male",18,"Student at college / university","None","USA","Singleplayer",4,16,20,"USA","having fun","Student","Singleplayer"
52,"Other","improving",25,"Male",18,"Student at college / university","High school diploma (or equivalent)","Turkey","Multiplayer - online - with real life friends",2,20,12,"TUR","improving","Student","Multiplayer - online - with real life friends"
53,"League of Legends","having fun",12,"Male",28,"Unemployed / between jobs","Bachelor (or equivalent)","UK","Multiplayer - online - with real life friends",1,13,11,"GBR","having fun","Unemployed","Multiplayer - online - with real life friends"
54,"Other","having fun",30,"Female",21,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",2,28,20,"USA","having fun","Student","Singleplayer"
55,"Other","having fun",11,"Female",22,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",8,28,17,"USA","having fun","Student","Multiplayer - online - with strangers"
56,"Other","having fun",0,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",10,8,44,"USA","having fun","Student","Singleplayer"
57,"Counter Strike","improving",32,"Male",18,"Student at school","None","UK","Multiplayer - online - with real life friends",0,26,NA,"GBR","improving","Student","Multiplayer - online - with real life friends"
59,"Other","having fun",13,"Male",24,"Student at college / university","Master (or equivalent)","USA","Multiplayer - offline (people in the same room)",0,31,6,"USA","having fun","Student","Multiplayer - offline (people in the same room)"
60,"Other","having fun",25,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","Canada","Multiplayer - online - with online acquaintances or teammates",6,7,13,"CAN","having fun","Unemployed","Multiplayer - online - with online acquaintances or teammates"
61,"Other","having fun",0,"Male",19,"Student at college / university","None","Canada","Singleplayer",9,20,27,"CAN","having fun","Student","Singleplayer"
62,"Other","having fun",40,"Male",27,"Employed","Bachelor (or equivalent)","Sweden","Singleplayer",0,30,35,"SWE","having fun","Employed","Singleplayer"
63,"Counter Strike","improving",36,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",4,25,4,"USA","improving","Student","Multiplayer - online - with strangers"
64,"World of Warcraft","having fun",5,"Female",30,"Employed","Master (or equivalent)","Germany","Multiplayer - online - with strangers",9,27,38,"DEU","having fun","Employed","Multiplayer - online - with strangers"
65,"Other","having fun",25,"Female",18,"Student at school","None","UK","Multiplayer - online - with strangers",15,17,32,"GBR","having fun","Student","Multiplayer - online - with strangers"
66,"Other","relaxing",1,"Female",18,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",18,6,64,"USA","relaxing","Student","Singleplayer"
67,"Other","relaxing",14,"Male",22,"Student at college / university","Bachelor (or equivalent)","USA","Singleplayer",19,10,64,"USA","relaxing","Student","Singleplayer"
68,"Other","relaxing",3,"Female",24,"Student at college / university","Bachelor (or equivalent)","Belgium","Singleplayer",6,28,25,"BEL","relaxing","Student","Singleplayer"
69,"Destiny","winning",14,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",3,24,11,"USA","winning","Student","Multiplayer - online - with online acquaintances or teammates"
70,"Other","having fun",40,"Male",19,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,31,NA,"USA","having fun","Student","Multiplayer - online - with real life friends"
71,"Other","improving",10,"Male",40,"Employed","High school diploma (or equivalent)","Canada","Singleplayer",7,16,54,"CAN","improving","Employed","Singleplayer"
72,"Other","having fun",11,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",0,25,68,"USA","having fun","Student","Multiplayer - online - with strangers"
73,"Counter Strike","having fun",10,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",10,35,21,"USA","having fun","Student","Singleplayer"
74,"Other","All",26,"Male",23,"Employed","Bachelor (or equivalent)","USA","Singleplayer",1,31,3,"USA","Other","Employed","Singleplayer"
75,"Other","winning",10,"Male",24,"Student at college / university","Bachelor (or equivalent)","Canada","Multiplayer - online - with strangers",16,14,61,"CAN","winning","Student","Multiplayer - online - with strangers"
76,"League of Legends","improving",30,"Male",18,"Student at school","High school diploma (or equivalent)","Latvia","Multiplayer - online - with real life friends",19,29,47,"LVA","improving","Student","Multiplayer - online - with real life friends"
77,"Other","having fun",30,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",11,16,15,"USA","having fun","Student","Singleplayer"
78,"Other","improving",12,"Male",23,"Student at college / university","Bachelor (or equivalent)","Austria","Multiplayer - online - with real life friends",0,27,36,"AUT","improving","Student","Multiplayer - online - with real life friends"
79,"Other","having fun",33,"Male",21,"Student at college / university","Bachelor (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",4,22,0,"GBR","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
80,"League of Legends","improving",25,"Male",19,"Student at college / university","High school diploma (or equivalent)","Australia","Multiplayer - online - with real life friends",8,17,25,"AUS","improving","Student","Multiplayer - online - with real life friends"
81,"League of Legends","winning",60,"Male",21,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",21,12,45,"USA","winning","Student","Multiplayer - online - with online acquaintances or teammates"
82,"Other","having fun",13,"Male",19,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",0,25,13,"GBR","having fun","Student","Multiplayer - online - with strangers"
83,"Other","having fun",25,"Female",34,"Unemployed / between jobs","Master (or equivalent)","USA","Singleplayer",10,22,38,"USA","having fun","Unemployed","Singleplayer"
84,"Other","having fun",15,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",9,24,5,"USA","having fun","Student","Singleplayer"
85,"Other","having fun",5,"Male",50,"Employed","Master (or equivalent)","Japan","Singleplayer",0,29,7,"JPN","having fun","Employed","Singleplayer"
86,"League of Legends","improving",15,"Female",20,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",18,15,30,"USA","improving","Employed","Multiplayer - online - with strangers"
87,"Other","having fun",20,"Female",21,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",7,20,30,"CAN","having fun","Student","Multiplayer - online - with real life friends"
88,"Diablo 3","having fun",65,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",3,25,30,"USA","having fun","Student","Multiplayer - online - with real life friends"
89,"Other","having fun",11,"Male",28,"Employed","Master (or equivalent)","Canada","Singleplayer",8,30,30,"CAN","having fun","Employed","Singleplayer"
90,"Other","having fun",18,"Male",18,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",5,27,11,"GBR","having fun","Student","Multiplayer - online - with real life friends"
91,"Other","improving",25,"Male",24,"Student at college / university","Bachelor (or equivalent)","Canada","Multiplayer - online - with strangers",8,11,34,"CAN","improving","Student","Multiplayer - online - with strangers"
92,"Other","having fun",10,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",18,23,NA,"USA","having fun","Student","Multiplayer - online - with strangers"
93,"Starcraft 2","relaxing",8,"Male",22,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",4,14,13,"USA","relaxing","Student","Multiplayer - online - with real life friends"
94,"League of Legends","having fun",22,"Male",19,"Student at college / university","None","USA","Multiplayer - online - with real life friends",8,23,13,"USA","having fun","Student","Multiplayer - online - with real life friends"
95,"Other","relaxing",6,"Female",18,"Student at school","High school diploma (or equivalent)","USA","Singleplayer",12,7,11,"USA","relaxing","Student","Singleplayer"
96,"Other","I play it as I watch TV or movies.  I've gone through many a Netflix binge with Isaac.",20,"Female",22,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",6,14,47,"USA","Other","Student","Singleplayer"
97,"Other","having fun",10,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",17,13,31,"USA","having fun","Student","Singleplayer"
99,"Starcraft 2","winning",28,"Male",20,"Student at college / university","Bachelor (or equivalent)","Germany","Multiplayer - online - with strangers",5,18,16,"DEU","winning","Student","Multiplayer - online - with strangers"
100,"Starcraft 2","winning",50,"Male",18,"Student at school","None","UK","Multiplayer - online - with strangers",0,25,NA,"GBR","winning","Student","Multiplayer - online - with strangers"
101,"Starcraft 2","winning",50,"Male",22,"Employed","Bachelor (or equivalent)","South Africa","Multiplayer - online - with strangers",1,24,15,"ZAF","winning","Employed","Multiplayer - online - with strangers"
102,"Starcraft 2","improving",21,"Male",22,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",11,16,45,"DEU","improving","Student","Multiplayer - online - with strangers"
103,"League of Legends","improving",25,"Male",27,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",1,23,15,"DEU","improving","Student","Multiplayer - online - with real life friends"
104,"Starcraft 2","improving",35,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,18,16,"USA","improving","Unemployed","Multiplayer - online - with real life friends"
105,"Other","improving",54,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","Croatia","Multiplayer - online - with online acquaintances or teammates",0,29,5,"HRV","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
106,"League of Legends","winning",17,"Male",18,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",13,8,50,"GBR","winning","Student","Multiplayer - online - with strangers"
107,"League of Legends","having fun",48,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Switzerland","Singleplayer",15,7,33,"CHE","having fun","Unemployed","Singleplayer"
108,"League of Legends","improving",30,"Male",19,"Student at college / university","High school diploma (or equivalent)","Croatia","Multiplayer - online - with strangers",3,19,21,"HRV","improving","Student","Multiplayer - online - with strangers"
109,"League of Legends","having fun",46,"Male",27,"Employed","Bachelor (or equivalent)","India","Multiplayer - Online - With real friends, and with online acquaintances, and strangers",0,30,15,"IND","having fun","Employed","Other"
110,"League of Legends","having fun",22,"Female",21,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",15,8,21,"DEU","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
111,"League of Legends","relaxing",18,"Male",18,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with online acquaintances or teammates",5,11,11,"NLD","relaxing","Student","Multiplayer - online - with online acquaintances or teammates"
113,"League of Legends","improving",55,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",9,8,34,"USA","improving","Student","Multiplayer - online - with strangers"
114,"League of Legends","having fun",55,"Male",22,"Student at college / university","High school diploma (or equivalent)","Denmark","Multiplayer - online - with online acquaintances or teammates",7,11,35,"DNK","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
116,"League of Legends","having fun",30,"Female",20,"Employed","High school diploma (or equivalent)","Portugal","Multiplayer - online - with real life friends",2,16,25,"PRT","having fun","Employed","Multiplayer - online - with real life friends"
117,"Starcraft 2","improving",15,"Male",22,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",2,30,12,"GBR","improving","Student","Multiplayer - online - with strangers"
118,"League of Legends","improving",38,"Male",21,"Student at college / university","Bachelor (or equivalent)","France","Multiplayer - online - with online acquaintances or teammates",4,19,4,"FRA","improving","Student","Multiplayer - online - with online acquaintances or teammates"
119,"League of Legends","having fun",50,"Male",20,"Unemployed / between jobs","Bachelor (or equivalent)","France","Multiplayer - online - with real life friends",8,8,22,"FRA","having fun","Unemployed","Multiplayer - online - with real life friends"
120,"Heroes of the Storm","having fun",70,"Male",23,"Student at college / university","High school diploma (or equivalent)","France","Multiplayer - online - with strangers",8,11,33,"FRA","having fun","Student","Multiplayer - online - with strangers"
121,"League of Legends","having fun",36,"Male",21,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",17,5,34,"GBR","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
122,"League of Legends","improving",50,"Male",23,"Unemployed / between jobs","High school diploma (or equivalent)","Argentina","Multiplayer - online - with online acquaintances or teammates",4,17,26,"ARG","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
123,"League of Legends","having fun",45,"Male",18,"Student at school","High school diploma (or equivalent)","Germany","Singleplayer",3,9,40,"DEU","having fun","Student","Singleplayer"
124,"League of Legends","winning",45,"Male",18,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",13,29,46,"DEU","winning","Employed","Multiplayer - online - with real life friends"
125,"Other","improving",38,"Female",20,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",2,23,17,"DEU","improving","Student","Multiplayer - online - with online acquaintances or teammates"
126,"League of Legends","improving",22,"Male",27,"Employed","High school diploma (or equivalent)","Estonia","Multiplayer - online - with strangers",6,17,11,"EST","improving","Employed","Multiplayer - online - with strangers"
127,"League of Legends","having fun",31,"Male",20,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",3,19,6,"GBR","having fun","Employed","Multiplayer - online - with real life friends"
128,"League of Legends","having fun",21,"Male",34,"Employed","Master (or equivalent)","Germany","Multiplayer - online - with strangers",4,22,18,"DEU","having fun","Employed","Multiplayer - online - with strangers"
129,"Starcraft 2","winning",24,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Russia","Multiplayer - online - with online acquaintances or teammates",7,6,46,"RUS","winning","Unemployed","Multiplayer - online - with online acquaintances or teammates"
130,"League of Legends","having fun",35,"Male",21,"Student at college / university","Bachelor (or equivalent)","Czech Republic","Singleplayer",6,21,28,"CZE","having fun","Student","Singleplayer"
131,"League of Legends","having fun",35,"Male",20,"Unemployed / between jobs","Bachelor (or equivalent)","Netherlands","Multiplayer - online - with online acquaintances or teammates",3,12,NA,"NLD","having fun","Unemployed","Multiplayer - online - with online acquaintances or teammates"
132,"League of Legends","having fun",11,"Female",20,"Student at college / university","High school diploma (or equivalent)","Lithuania","With strangers and friends",5,31,27,"LTU","having fun","Student","Other"
133,"World of Warcraft","improving",48,"Male",35,"Employed","None","Ireland","Multiplayer - online - with online acquaintances or teammates",7,22,43,"IRL","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
135,"League of Legends","having fun",55,"Female",18,"Student at school","High school diploma (or equivalent)","Norway","Multiplayer - online - with real life friends",11,27,7,"NOR","having fun","Student","Multiplayer - online - with real life friends"
136,"League of Legends","improving",17,"Male",25,"Employed","Ph.D., Psy. D., MD (or equivalent)","Germany","Multiplayer - online - with real life friends",1,31,5,"DEU","improving","Employed","Multiplayer - online - with real life friends"
137,"League of Legends","having fun",26,"Male",19,"Student at college / university","High school diploma (or equivalent)","Japan","Multiplayer - online - with online acquaintances or teammates",7,21,14,"JPN","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
138,"Starcraft 2","improving",33,"Male",23,"Student at college / university","Master (or equivalent)","Belgium","Multiplayer - online - with real life friends",6,31,19,"BEL","improving","Student","Multiplayer - online - with real life friends"
139,"Counter Strike","having fun",25,"Male",19,"Student at school","None","Switzerland","Multiplayer - online - with real life friends",1,13,13,"CHE","having fun","Student","Multiplayer - online - with real life friends"
140,"League of Legends","having fun",18,"Male",18,"Student at school","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",1,27,2,"GBR","having fun","Student","Multiplayer - online - with real life friends"
141,"Other","improving",10,"Male",36,"Employed","High school diploma (or equivalent)","Canada","Singleplayer - online",18,12,30,"CAN","improving","Employed","Other"
142,"League of Legends","improving",15,"Male",18,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",2,22,16,"GBR","improving","Employed","Multiplayer - online - with real life friends"
143,"League of Legends","having fun",26,"Male",21,"Student at college / university","High school diploma (or equivalent)","Croatia","Multiplayer - online - with real life friends",10,16,23,"HRV","having fun","Student","Multiplayer - online - with real life friends"
144,"League of Legends","having fun",15,"Male",23,"Employed","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",3,24,8,"DEU","having fun","Employed","Multiplayer - online - with real life friends"
145,"League of Legends","improving",43,"Male",22,"Student at college / university","High school diploma (or equivalent)","Finland","Multiplayer - online - with strangers",4,20,14,"FIN","improving","Student","Multiplayer - online - with strangers"
146,"Starcraft 2","improving",20,"Male",21,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with online acquaintances or teammates",3,15,13,"CAN","improving","Student","Multiplayer - online - with online acquaintances or teammates"
147,"League of Legends","improving",13,"Male",18,"Student at college / university","High school diploma (or equivalent)","Singapore","Multiplayer - online - with online acquaintances or teammates",5,25,8,"SGP","improving","Student","Multiplayer - online - with online acquaintances or teammates"
148,"Other","having fun",20,"Male",25,"Employed","High school diploma (or equivalent)","UK","Singleplayer",2,14,35,"GBR","having fun","Employed","Singleplayer"
149,"League of Legends","improving",40,"Male",20,"Student at college / university","High school diploma (or equivalent)","Belgium","Multiplayer - online - with real life friends",5,25,36,"BEL","improving","Student","Multiplayer - online - with real life friends"
150,"League of Legends","winning",17,"Male",19,"Student at college / university","High school diploma (or equivalent)","Argentina","Multiplayer - online - with online acquaintances or teammates",9,20,32,"ARG","winning","Student","Multiplayer - online - with online acquaintances or teammates"
151,"Starcraft 2","having fun",35,"Male",18,"Student at college / university","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",4,31,4,"GBR","having fun","Student","Multiplayer - online - with strangers"
152,"League of Legends","having fun",35,"Male",24,"Employed","High school diploma (or equivalent)","Portugal","Multiplayer - online - with online acquaintances or teammates",2,26,12,"PRT","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
153,"Starcraft 2","improving",28,"Male",25,"Employed","Master (or equivalent)","Romania","Multiplayer - online - with strangers",0,24,3,"ROU","improving","Employed","Multiplayer - online - with strangers"
154,"League of Legends","winning",40,"Male",23,"Unemployed / between jobs","Bachelor (or equivalent)","Poland","Multiplayer - online - with strangers",0,22,2,"POL","winning","Unemployed","Multiplayer - online - with strangers"
155,"League of Legends","improving",21,"Male",18,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",6,8,0,"DEU","improving","Student","Multiplayer - online - with strangers"
156,"League of Legends","relaxing",60,"Male",21,"Student at college / university","Bachelor (or equivalent)","Austria","Multiplayer - online - with strangers",3,13,22,"AUT","relaxing","Student","Multiplayer - online - with strangers"
157,"League of Legends","having fun",40,"Male",23,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with online acquaintances or teammates",1,18,3,"NLD","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
158,"League of Legends","improving",28,"Male",22,"Employed","Bachelor (or equivalent)","Germany","Multiplayer - online - with real life friends",6,23,6,"DEU","improving","Employed","Multiplayer - online - with real life friends"
159,"League of Legends","having fun",17,"Male",19,"Student at college / university","High school diploma (or equivalent)","Argentina","Multiplayer - online - with strangers",1,27,10,"ARG","having fun","Student","Multiplayer - online - with strangers"
160,"League of Legends","Improving AND having fun (kinda wish I could pick more than one)",55,"Male",18,"Unemployed / between jobs","None","Denmark","Multiplayer - online - with real life friends",1,31,10,"DNK","Other","Unemployed","Multiplayer - online - with real life friends"
161,"Counter Strike","improving",80,"Male",29,"Unemployed / between jobs","None","UK","Multiplayer - online - with online acquaintances or teammates",1,15,1,"GBR","improving","Unemployed","Multiplayer - online - with online acquaintances or teammates"
