"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
10951,"League of Legends","winning",14,"Male",25,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",0,31,5,"USA","winning","Employed","Multiplayer - online - with strangers"
10952,"League of Legends","having fun",22,"Male",18,"Student at college / university","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",1,22,39,"CAN","having fun","Student","Multiplayer - online - with real life friends"
10953,"League of Legends","improving",25,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,26,NA,"USA","improving","Student","Multiplayer - online - with real life friends"
10956,"League of Legends","improving",38,"Male",22,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",6,13,34,"DEU","improving","Student","Multiplayer - online - with online acquaintances or teammates"
10957,"League of Legends","improving",30,"Male",26,"Employed","High school diploma (or equivalent)","Italy","Multiplayer - online - with real life friends",7,9,21,"ITA","improving","Employed","Multiplayer - online - with real life friends"
10958,"League of Legends","having fun",30,"Male",26,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,32,50,"USA","having fun","Employed","Multiplayer - online - with real life friends"
10959,"League of Legends","winning",24,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,29,0,"USA","winning","Student","Multiplayer - online - with real life friends"
10960,"World of Warcraft","having fun",25,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,30,25,"USA","having fun","Student","Multiplayer - online - with real life friends"
10961,"League of Legends","winning",64,"Male",23,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",1,12,3,"USA","winning","Student","Multiplayer - online - with strangers"
10962,"League of Legends","having fun",35,"Male",18,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with real life friends",1,16,9,"GBR","having fun","Employed","Multiplayer - online - with real life friends"
10963,"League of Legends","having fun",12,"Male",21,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,21,3,"USA","having fun","Employed","Multiplayer - online - with real life friends"
10964,"League of Legends","winning",50,"Male",20,"Student at college / university","Master (or equivalent)","France","Multiplayer - online - with online acquaintances or teammates",11,27,20,"FRA","winning","Student","Multiplayer - online - with online acquaintances or teammates"
10965,"League of Legends","having fun",42,"Male",30,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",12,18,57,"USA","having fun","Employed","Multiplayer - online - with strangers"
